REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,POR_PART,COLECTIVAS,POR_COLE,TOTAL_PERS,POR_HOMBRES,HOMBRES,POR_MUJERES,MUJERES,DENSIDAD,MEDIA_MAS,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,CUT,PERSONAS_0,Porc_0_5,PERSONAS_6,Porc_6_14,PERSONAS_1,Porc_15_64,PERSONAS_M,Porc_mas_65,PERSONAS_E,Porc_MIGR,PNac_MIG,PUEBLOS_IN,Porc_IND,PNac_IND,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VI_2,CANTIDAD_H,VIV_TIPO_C,vTip_Casa,VIV_TIPO_D,vTip_Dep,vOtro_Tip,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,Mat_Acep,VIV_MATE_1,Mat_Recup,VIV_MATE_2,Mat_Irrecup,VIV_AGUA_R,vAguRedPUB,VIV_AGUA_P,vAguPOZO,VIV_AGUA_C,vAguCAMION,VIV_AGUA_1,vAguRIO,Escudo,Latitud,Longitud
5,58,5803,REGIÓN DE VALPARAÍSO,MARGA MARGA,OLMUÉ,9090,9085,99.94499449944995,5,0.055005500550055,17516,49.08084037451473,8597,50.919159625485264,8919,75.7,menor,96.4,53.6,29.3,24.3,5803,1043,6.44782393669634,1547,9.563550939663699,11141,68.87363996043521,2445,15.114985163204746,162,0.9248686914820735,menor,758,4.327472025576616,menor,8987,4,5841,8991,5920,8650,96.25013908979638,12,0.13352620451763658,3.6163347056859863,2,25,216,1,81,246,1430,3006,741,377,21,1020,4,4708,20,3,54,1,4959,248,353,214,39,4038,69.71685082872928,1651,28.504834254143645,103,1.7783149171270718,4255,73.17282889079965,820,14.10146173688736,274,4.71195184866724,466,8.013757523645744,https://upload.wikimedia.org/wikipedia/commons/4/45/Escudo_de_Olmu%C3%A9.svg,-33.03565863,-71.11043381
5,58,5804,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,44982,44937,99.8999599839936,45,0.10004001600640257,126548,47.22002718336125,59756,52.77997281663874,66792,1318.0,menor,89.5,49.3,29.8,19.5,5804,8300,6.854575635699951,13505,11.153137826521426,84094,69.44923897693394,15188,12.54304756084468,1191,0.9411448620286373,menor,6817,5.386888769478775,menor,44895,45,40583,44940,41036,38981,86.82704087314845,5326,11.863236440583584,1.3097226862679747,6,65,388,2,127,6749,24618,6571,1681,728,102,8990,1879,29032,120,3,284,27,37939,376,1506,427,62,35335,88.03597677953012,4365,10.875252261006056,437,1.0887709594638364,38895,96.39883017745613,565,1.4003172400118966,867,2.148805393080202,21,0.0520471894517696,https://upload.wikimedia.org/wikipedia/commons/d/de/Escudo_de_Villa_Alemana.svg,-33.06756676,-71.3301635
13,131,13101,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,193628,193263,99.81149420538353,365,0.1885057946164811,404495,51.09531638215553,206678,48.904683617844476,197817,17485.2,menor,104.5,24.4,15.2,9.2,13101,22576,5.678525434642627,23713,5.964514246619446,322489,81.11543182549903,28790,7.241528493238893,110389,27.290572194959147,mayor,31853,7.874757413565063,menor,192851,364,163547,193215,173477,30226,15.673239962458062,154220,79.96847306988296,4.358286967658984,55,7634,91,8,617,119939,25811,2221,873,13243,46,25536,107035,28364,164,25,205,18,158234,579,1891,451,49,144263,90.20496723525586,15384,9.619328697914062,281,0.17570406683007353,161809,99.92157395514278,66,0.04075684220926786,32,0.019760893192372293,29,0.01790830945558739,https://upload.wikimedia.org/wikipedia/commons/7/7c/Escudo_de_Santiago_%28Chile%29.svg,-33.45375118,-70.6569544
13,131,13102,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRILLOS,24547,24531,99.93481891880882,16,0.06518108119118426,80832,49.02884996041172,39631,50.97115003958829,41201,4818.8,menor,96.2,47.0,29.5,17.5,13102,5907,7.629712868601541,8703,11.241136125857325,53547,69.16340527763785,9264,11.965745727903283,3606,4.461104513064133,mayor,8726,10.795229612034838,menor,24508,15,23280,24523,24008,18003,73.45764648278113,5663,23.10674065611229,3.435612861106577,7,390,295,5,145,4518,15346,2300,849,116,33,7319,2198,13476,52,4,33,16,21591,550,704,204,25,20653,89.9991284643542,2211,9.634826564406485,84,0.36604497123932367,23080,99.77951666594613,43,0.1858977130258095,5,0.02161601314253599,3,0.012969607885521595,https://upload.wikimedia.org/wikipedia/commons/6/63/Escudo_de_Cerrillos.svg,-33.49976663,-70.71254358
13,131,13103,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,38020,38016,99.98947922146239,4,0.010520778537611783,132622,49.34173817315378,65438,50.65826182684623,67184,11949.6,menor,97.4,47.4,29.2,18.2,13103,9707,7.457228679639545,14735,11.319899515245565,89731,68.93423165269765,15996,12.288640152417242,6014,4.534692584940658,mayor,20569,15.509493145933556,menor,37959,4,36338,37963,38590,33018,86.98332411285861,3330,8.772623093337549,4.244052793803846,10,669,656,4,272,5661,21424,6356,2400,214,93,3536,1807,30350,111,3,162,28,31369,2020,1811,633,74,29138,81.4889392286825,6307,17.638504348798836,312,0.8725564225186676,36008,99.91398207497433,19,0.05272066372540859,1,0.0027747717750215045,11,0.03052248952523655,https://upload.wikimedia.org/wikipedia/commons/2/26/Escudo_de_Cerro_Navia.svg,-33.42247951,-70.74458693
13,131,13104,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,37759,37735,99.93643899467676,24,0.0635610053232342,126955,48.73931708085542,61877,51.26068291914457,65078,11427.9,menor,95.1,47.8,27.5,20.3,13104,8730,7.0499878866187515,12629,10.198659452475168,85671,69.18436566260195,16800,13.566986998304126,9219,7.261628135953685,mayor,12409,9.77432948682604,menor,37697,24,35904,37721,38129,30278,80.3193888107807,6064,16.086160702443163,3.5944504867761395,4,639,434,1,277,7865,20562,5130,1781,318,48,5377,3782,26164,90,6,104,28,31108,1009,2901,421,39,29144,82.56324541771721,5952,16.86166746933341,203,0.5750871129493753,35570,99.9494211531977,8,0.022479487467685737,7,0.01966955153422502,3,0.00842980780038215,https://upload.wikimedia.org/wikipedia/commons/7/79/Escudo_de_Conchal%C3%AD.svg,-33.3837226,-70.67690544
13,131,13105,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,EL BOSQUE,47941,47892,99.89779103481362,49,0.10220896518637493,162505,48.84280483677425,79372,51.157195163225744,83133,11344.6,menor,95.5,48.2,30.1,18.1,13105,12071,7.570683123855397,18633,11.686234665462482,109435,68.6353829557713,19305,12.107699254910816,3368,2.0725516137964988,mayor,19001,11.692563305744438,menor,47863,49,45711,47912,47305,38842,81.15245596807556,7768,16.229655475001568,2.6178885569228783,6,452,547,5,243,7182,29529,6292,2142,356,59,6521,3662,35012,104,1,88,29,41293,1738,1693,587,46,39065,86.52653495171437,5890,13.045982103304688,193,0.4274829449809515,45353,99.91628296358309,8,0.01762463924566544,10,0.0220307990570818,20,0.0440615981141636,https://upload.wikimedia.org/wikipedia/commons/9/99/Comuna_de_El_Bosque.svg,-33.56286601,-70.67630674
13,131,13106,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ESTACIÓN CENTRAL,52486,52413,99.86091529169683,73,0.13908470830316655,147041,49.957494848375624,73458,50.042505151624376,73583,10244.4,menor,99.8,39.2,22.7,16.5,13106,9311,6.774592549476136,11910,8.665599534342258,99886,72.67607683352736,16333,11.883731082654249,22254,15.134554307982128,mayor,14169,9.636087893852736,menor,52328,73,43590,52401,46924,26993,51.58423788411558,22172,42.371197064669005,6.0445650512154145,20,2556,303,2,282,17556,19656,3103,1263,1676,68,8896,11629,22341,145,5,113,18,39605,1051,1854,510,40,36951,86.24343564009803,5693,13.28743143890769,201,0.46913292099428167,43113,99.79861111111111,58,0.13425925925925924,14,0.032407407407407406,15,0.034722222222222224,https://upload.wikimedia.org/wikipedia/commons/0/01/Escudo_de_Estaci%C3%B3n_Central.svg,-33.46445628,-70.70098921
13,131,13107,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,HUECHURABA,28945,28939,99.9792710312662,6,0.020728968733805492,98671,48.77015536479817,48122,51.229844635201836,50549,2197.5,menor,95.2,48.9,34.7,14.2,13107,8465,8.725274951812569,13508,13.923333024109178,66028,68.05817537132668,9016,9.293216652751578,4683,4.746075341285687,mayor,9346,9.471881302510363,menor,28931,5,27033,28936,27956,23791,82.23359026649615,4204,14.531125782033113,3.235283951470734,2,236,564,2,132,9438,12049,4033,1331,48,41,9947,2492,14290,45,4,58,27,24329,823,1381,268,27,23160,86.65394544842295,3441,12.874621169603772,126,0.4714333819732855,26714,99.5120134103185,57,0.2123300428385174,44,0.16390389271745204,30,0.11175265412553548,https://upload.wikimedia.org/wikipedia/commons/f/f0/Escudo_de_Huechuraba.svg,-33.36038647,-70.63820971
13,131,13108,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,INDEPENDENCIA,36666,36612,99.85272459499264,54,0.14727540500736377,100281,49.048174629291694,49186,50.95182537070831,51095,13627.2,menor,96.3,38.4,23.2,15.2,13108,7195,7.311843255218389,8357,8.492713562732465,72116,73.28712831040019,10734,10.90831487164895,29985,29.900978251114367,mayor,6957,6.937505609238041,menor,36557,53,31903,36610,34696,14879,40.70082337172087,19692,53.86656454304237,5.432612085236755,16,1716,52,2,200,16359,10087,1058,506,3649,25,6031,12282,13037,72,5,47,10,30213,303,720,181,18,26309,84.28589735375152,4824,15.454603703466393,81,0.25949894278208496,31588,99.95253615163118,7,0.022149795905452015,6,0.0189855393475303,2,0.006328513115843432,https://upload.wikimedia.org/wikipedia/commons/7/7f/Escudo_de_Independencia%2C_Chile.svg,-33.41486836,-70.66528547
13,131,13109,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,31480,31421,99.8125794155019,59,0.18742058449809404,90119,47.87780601205073,43147,52.122193987949274,46972,9030.7,menor,91.9,47.4,26.2,21.2,13109,6152,6.9343312518316464,8937,10.073491286999255,60950,68.70082734056223,12679,14.291350120606866,4714,5.230861416571423,mayor,7910,8.777283369766643,menor,31336,59,28416,31395,29209,20852,66.54327291294358,9581,30.575057441919835,2.881669645136583,7,498,188,3,207,8998,14249,3006,1157,838,29,6629,5906,15448,84,2,98,19,26661,425,729,276,22,24675,88.2321390259601,3138,11.220768075520276,153,0.5470928985196309,28195,99.93974195377854,5,0.017722954771019424,5,0.017722954771019424,7,0.024812136679427194,https://upload.wikimedia.org/wikipedia/commons/e/e3/Escudo_de_La_Cisterna.svg,-33.53025795,-70.66399422
13,131,13110,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,120035,119960,99.93751822385137,75,0.06248177614862332,366916,47.88371180324652,175693,52.11628819675348,191223,5180.7,menor,91.9,45.3,26.6,18.6,13110,24110,6.751874898483838,37013,10.365290154192547,250840,70.2463832242093,45123,12.63645172311432,12015,3.2745914596256362,mayor,36253,9.880463103271593,menor,119833,75,111913,119908,114956,90733,75.71620505203074,27517,22.9627898825866,1.32100506538265,3,556,595,9,420,26188,75096,7395,2506,266,83,35508,15126,60134,245,6,156,59,104792,1889,3670,707,67,102044,92.1590231743222,8371,7.560103318100536,311,0.2808735075772628,110898,99.68897198950056,33,0.029664521232605805,105,0.09438711301283666,208,0.18697637625400024,https://upload.wikimedia.org/wikipedia/commons/1/1c/Escudo_de_La_Florida_%28Chile%29.svg,-33.52841411,-70.53997412
13,131,13111,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA GRANJA,34423,34403,99.94189931150684,20,0.05810068849315864,116571,48.91868475006648,57025,51.08131524993351,59546,11553.6,menor,95.8,45.5,28.2,17.4,13111,8528,7.452721361904429,12713,11.110042996469396,79776,69.71720208340616,13411,11.720033558220017,3020,2.5906957991267126,mayor,14127,12.118794554391744,menor,34323,20,32825,34343,34194,28009,81.60417212947586,4756,13.856597616758442,4.539230253765709,5,620,680,2,251,4208,21627,4881,1802,132,52,5129,1923,25412,69,1,60,8,27676,1993,2170,675,36,26202,80.82546733296316,6076,18.74267382318465,140,0.43185884385218093,32575,99.93557491716774,5,0.015339305436249846,10,0.030678610872499693,6,0.018407166523499816,https://upload.wikimedia.org/wikipedia/commons/1/1d/Escudo_de_La_Granja_%28Chile%29.svg,-33.53558391,-70.62262627
13,131,13112,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,50042,50012,99.94005035769953,30,0.0599496423004676,177335,49.084501085516116,87044,50.915498914483884,90291,5823.6,menor,96.4,48.5,34.9,13.6,13112,15082,8.729878504077842,23844,13.801566307600584,118465,68.5708166679208,15372,8.89773852040078,2127,1.1994248174359263,menor,27064,15.261510700087404,menor,49626,29,46680,49655,48426,42343,85.32422520452988,6292,12.678837706041188,1.9969370894289256,6,258,567,15,145,5101,35512,4073,1632,79,74,5488,2694,37910,107,2,103,38,39140,3043,2937,1010,85,37744,81.98800938396037,8041,17.466765140324963,251,0.5452254757146581,46291,99.91150824484157,14,0.030216696883363547,14,0.030216696883363547,13,0.02805836139169473,https://upload.wikimedia.org/wikipedia/commons/8/81/Escudo_de_La_Pintana.svg,-33.58759563,-70.63725191
13,131,13113,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA REINA,29801,29732,99.76846414549847,69,0.2315358545015268,92787,46.98826344207701,43599,53.01173655792299,49188,3958.8,menor,88.6,48.7,26.5,22.2,13113,5479,6.069838034254315,9402,10.415881948906565,62079,68.77340305319832,13306,14.740876963640796,5087,5.482449049974673,mayor,5568,6.000840635002748,menor,29702,69,27977,29771,28673,24593,82.7991381051781,4827,16.251430880075414,0.9494310147464802,0,134,65,1,82,11782,13863,1689,460,86,14,14875,3707,9168,50,3,35,14,26919,168,619,101,17,26311,94.80416531546139,1371,4.940006485785321,71,0.25582819875328794,27755,99.70542802744549,37,0.13291662176240257,34,0.12213959837626182,11,0.03951575241584941,https://upload.wikimedia.org/wikipedia/commons/b/bb/Coat_of_Arms_of_La_Reina.svg,-33.44729835,-70.53689733
13,131,13114,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,118007,117901,99.91017482013778,106,0.08982517986221157,294838,46.098874636240915,135917,53.901125363759085,158921,2977.0,menor,85.5,44.7,22.1,22.6,13114,17511,6.049415129928903,23740,8.201308616556004,203410,70.2707744605584,44805,15.478501792956687,30262,10.263941554345097,mayor,8717,2.9565388450606775,menor,117773,105,104705,117878,106446,36292,30.815212315216563,81120,68.8782658164435,0.306521868339928,6,119,81,0,155,80297,22457,1086,275,28,20,33438,60677,9548,69,0,33,7,103096,140,411,69,2,102198,99.05402523891678,923,0.8946052299998062,53,0.051369531083412495,103979,99.9548189875608,24,0.023071155288101053,13,0.012496875781054738,10,0.009612981370042104,https://upload.wikimedia.org/wikipedia/commons/c/c3/Escudo_de_Las_Condes.svg,-33.42124917,-70.5013174
13,131,13115,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO BARNECHEA,31225,31195,99.9039231385108,30,0.09607686148919135,105833,47.71668572184479,50500,52.2833142781552,55333,103.4,menor,91.3,44.6,33.6,11.0,13115,7812,7.521156864066548,15393,14.81991392838919,73086,70.36498599170092,7576,7.2939432158433375,10667,10.079086863265712,mayor,4824,4.558124592518402,menor,31180,30,26390,31210,26849,21856,70.096215522771,8838,28.34509300833868,1.5586914688903164,1,117,279,4,85,14728,8558,2262,639,92,45,12248,7170,6764,33,0,42,8,25205,373,497,135,18,24426,93.43942465858231,1623,6.20863777208217,92,0.35193756933552656,25618,97.54035942735302,258,0.9823332318001827,15,0.057112397197685044,373,1.4201949436491013,https://upload.wikimedia.org/wikipedia/commons/c/cf/Comuna_de_Lo_Barnechea.svg,-33.29928231,-70.3686132
13,131,13116,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO ESPEJO,26774,26762,99.95518039889446,12,0.04481960110555016,98804,49.740901178089956,49146,50.259098821910044,49658,11986.6,menor,99.0,45.8,28.7,17.1,13116,7601,7.7777095612311715,11091,11.348845776031434,67629,69.20125245579568,11407,11.672192206941716,3553,3.5960082587749485,mayor,11021,11.154406704182017,menor,26732,12,25793,26744,27587,22086,82.620080802035,3744,14.005686069130629,3.374233128834362,2,398,346,6,150,4077,16970,3391,1097,81,35,3470,1588,20349,58,3,50,18,22352,1337,1284,434,34,21390,84.44865569110506,3816,15.065734928343005,123,0.48560938055193653,25541,99.94130536860229,2,0.007825950853028642,8,0.03130380341211457,5,0.019564877132571608,https://upload.wikimedia.org/wikipedia/commons/9/99/Comuna_de_Lo_Espejo.svg,-33.52062609,-70.69000835
13,131,13117,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO PRADO,29526,29516,99.96613154507892,10,0.0338684549210865,96249,48.62284283473075,46799,51.37715716526925,49450,14672.9,menor,94.6,48.7,27.0,21.6,13117,6509,6.906100795755968,9544,10.126259946949602,64498,68.43289124668435,13699,14.53474801061008,6520,6.7740963542478365,mayor,13036,13.544036821161779,menor,29407,10,28325,29417,29817,19537,66.43656272316115,8363,28.438807086748053,5.124630190090798,10,940,371,3,183,4980,17855,3759,1424,149,33,4760,3227,19902,77,3,79,25,25524,679,1462,318,25,24016,86.15605381165919,3715,13.327354260089685,144,0.5165919282511211,28074,99.9679521418652,2,0.007121746252181036,3,0.010682619378271552,4,0.014243492504362071,https://upload.wikimedia.org/wikipedia/commons/0/0b/Escudo_de_Lo_Prado.svg,-33.44710374,-70.72320744
13,131,13118,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,43121,43085,99.91651399550103,36,0.08348600449896801,116534,47.33468344002609,55161,52.66531655997392,61373,9074.2,menor,89.9,45.8,24.4,21.4,13118,7331,6.44489182322482,10149,8.922276239791119,79578,69.95929634546238,16691,14.673535591521683,6108,5.241388779240394,mayor,11138,9.557725642301818,menor,42963,35,38393,42998,39721,22936,53.38547121942136,19150,44.573237436864275,2.041291343714363,9,424,235,3,206,15073,19889,2407,790,64,18,9942,10943,17104,78,3,51,17,36128,524,1196,189,19,35265,93.02294908994988,2555,6.739646531258243,90,0.2374043787918755,38144,99.94497576313375,16,0.04192322808856282,2,0.005240403511070352,3,0.007860605266605529,https://upload.wikimedia.org/wikipedia/commons/8/85/Escudo_de_Macul.svg,-33.48962137,-70.60031583
13,131,13119,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,161354,161301,99.96715296800824,53,0.03284703199176965,521627,48.07879960201446,250792,51.92120039798554,270835,3788.7,menor,92.6,40.3,27.1,13.2,13119,32340,6.414719341152389,56769,11.260272179278909,369882,73.36701358516164,45162,8.957994894407054,10138,1.9435343645938574,mayor,49789,9.544943034007058,menor,161038,53,151865,161091,155076,140600,87.30858555123635,18934,11.757473391373464,0.9339410573901858,10,375,787,9,323,21971,120989,5960,2154,212,105,62078,9327,79062,305,12,205,40,142120,1375,6616,620,97,139366,92.7085620015034,10581,7.038655730507494,380,0.25278226798911707,150204,99.44847951164284,464,0.3072094917139509,324,0.21451697266232778,45,0.029794023980878857,https://upload.wikimedia.org/wikipedia/commons/7/7d/Escudo_de_Maip%C3%BA_%28Chile%29.svg,-33.50698087,-70.80975755
13,131,13120,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,92248,92121,99.8623276385396,127,0.13767236146041106,208237,45.81750601478124,95409,54.18249398521876,112828,12353.0,menor,84.6,41.8,21.1,20.7,13120,13414,6.548461741244472,15287,7.462825006590446,146404,71.47167084875173,29737,14.517042403413363,15572,7.478017835447111,mayor,13630,6.545426605262274,menor,92053,126,80382,92179,82137,23070,25.061649267269942,68637,74.56248031025605,0.3758704224740086,6,186,11,1,142,58405,20280,539,145,554,3,18099,46592,14847,48,2,21,3,78620,108,842,38,0,77464,97.87605028744709,1654,2.089835112767705,27,0.03411459978520437,79833,99.98371865841746,8,0.010019287127720863,3,0.0037572326728953238,2,0.002504821781930216,https://upload.wikimedia.org/wikipedia/commons/1/18/Escudo_de_%C3%91u%C3%B1oa.svg,-33.45809355,-70.59912745
13,131,13121,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEDRO AGUIRRE CERDA,29906,29890,99.94649903029492,16,0.0535009697050759,101174,48.93846245082729,49513,51.06153754917271,51661,11553.8,menor,95.8,47.2,26.3,20.9,13121,6654,6.728552360150466,9736,9.84508352546212,68508,69.27557335274845,13994,14.150790761638959,5047,4.988435764129124,mayor,10338,10.218040207958566,menor,29858,16,28251,29874,29872,24881,83.33110054256817,4174,13.97950298077567,2.6893964766561567,4,354,264,1,180,6111,18107,2715,902,215,33,5165,2424,20241,53,6,54,39,25268,904,1354,334,32,24179,87.16922633210757,3425,12.347681880452809,134,0.4830917874396135,27978,99.94998571020291,8,0.02857959416976279,5,0.017862246356101744,1,0.003572449271220349,https://upload.wikimedia.org/wikipedia/commons/6/6e/Escudo_de_Pedro_Aguirre_Cerda.svg,-33.49174274,-70.67565294
13,131,13122,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,70394,70376,99.97442963888969,18,0.0255703611103219,241599,48.37851150046151,116882,51.62148849953849,124717,4506.9,menor,93.7,44.2,29.3,14.9,13122,16902,7.13577046647218,28995,12.24125338275712,167041,70.52220059696955,23925,10.100775553801142,9857,4.079900992967686,mayor,30024,12.427203754982429,menor,70305,17,67453,70322,69993,58610,83.3653367470308,9382,13.344712324870208,3.289950928098989,13,1049,821,11,419,16061,37496,9803,3180,494,139,21997,4735,39808,142,5,186,83,60956,2653,2261,878,76,57743,86.75721561969439,8407,12.631278453055275,407,0.6115059272503268,66310,98.96276397283785,51,0.07611372285650324,10,0.014924259383628088,634,0.9461980449220208,https://upload.wikimedia.org/wikipedia/commons/d/df/Escudo_de_Pe%C3%B1alol%C3%A9n.svg,-33.48546536,-70.52549769
13,131,13123,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,70965,70738,99.6801240047911,227,0.3198759952089058,142079,46.24891785555923,65710,53.751082144440765,76369,9873.1,menor,86.0,39.2,17.4,21.8,13123,8280,5.919528725442535,8303,5.935971860790986,101507,72.56927564414195,21786,15.575223769624525,15618,10.992476016863858,mayor,6685,4.705128836773907,menor,70699,227,59799,70926,61948,8859,12.53058741990693,61554,87.06488069138177,0.40453188871128987,1,154,2,3,126,49727,8991,149,31,583,1,11824,41475,5821,31,2,14,1,59076,21,127,39,1,58040,98.68230893479554,760,1.2921873671682393,15,0.02550369803621525,59419,99.98653810557491,7,0.01177915762195635,1,0.0016827368031366212,0,0.0,https://upload.wikimedia.org/wikipedia/commons/5/5b/Escudo_de_Providencia_%28Chile%29.svg,-33.43185105,-70.61244275
13,131,13124,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PUDAHUEL,68940,68918,99.96808819263127,22,0.03191180736872643,230293,48.81259960137738,112412,51.18740039862263,117881,1167.5,menor,95.4,41.5,29.5,12.0,13124,17129,7.7105559306774705,27317,12.296646410083277,159688,71.88296196263786,18016,8.109835696601396,5755,2.4989904165563,mayor,27559,11.966929085990456,menor,68768,22,64244,68790,66451,56080,81.54955793392276,11274,16.39425314099581,2.056188925081429,9,563,547,10,285,11839,44080,5717,1981,253,58,17209,5633,40599,109,7,107,51,59087,1322,2561,528,76,56908,89.91483781264319,6145,9.709121360066993,238,0.37604082728982,62478,98.02930931684814,1071,1.6804217529105343,158,0.24790535663852886,27,0.042363573602786586,https://upload.wikimedia.org/wikipedia/commons/c/ca/Escudo_de_Pudahuel.svg,-33.42408393,-70.85483581
13,131,13125,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,62470,62461,99.98559308468064,9,0.01440691531935329,210410,49.168765743073045,103456,50.83123425692695,106954,3670.7,menor,96.7,39.3,31.7,7.6,13125,15103,7.3952748194393445,28456,13.933651609744155,150680,73.78136858856654,9986,4.889704982249969,14981,7.119908749584145,mayor,22701,10.78893588707761,menor,62411,9,59179,62420,60625,47891,76.73487045552866,13694,21.941644902340933,1.3234846421304098,6,272,405,10,133,10894,45429,1784,673,77,50,22868,6117,29365,155,4,90,40,54808,426,3069,222,38,53693,92.1989834466653,4355,7.478192183529088,188,0.3228243698056185,58220,99.11474293496767,175,0.2979230507320395,333,0.5669050051072523,12,0.020429009193054137,https://upload.wikimedia.org/wikipedia/commons/e/ed/Escudo_de_Quilicura.svg,-33.35571213,-70.73541907
13,131,13126,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUINTA NORMAL,38989,38951,99.90253661289081,38,0.09746338710918463,110026,48.77847054332612,53669,51.22152945667388,56357,9311.9,menor,95.2,43.9,25.2,18.7,13126,7404,6.860828229101995,10494,9.724139848216685,76043,70.46433833409009,13976,12.950693588591234,11595,10.538418192063693,mayor,10672,9.699525566684239,menor,38878,36,33673,38914,35496,25506,65.60522660630691,11698,30.08899634754874,4.3057770461443425,4,1079,309,0,282,10904,15717,3416,1264,2061,83,5482,7203,20426,72,9,129,23,31115,694,1081,329,52,27951,84.46197080953675,4912,14.84301816094038,230,0.6950110295228599,33360,99.93110265704101,13,0.03894197645508193,4,0.01198214660156367,6,0.017973219902345506,https://upload.wikimedia.org/wikipedia/commons/2/27/Escudo_de_Quinta_Normal.svg,-33.42783447,-70.70137454
13,131,13127,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,50178,50113,99.87046115827654,65,0.12953884172346447,157851,49.22933652621776,77709,50.77066347378224,80142,10000.2,menor,97.0,44.0,26.0,18.1,13127,11081,7.140785802202617,15722,10.13152552858312,109102,70.3071936280038,19274,12.420495041210474,23283,14.749985746051655,mayor,16228,10.28058105428537,menor,50071,65,46574,50136,49981,32864,65.63479858600788,13169,26.300653072636855,8.064548341355277,29,3113,486,12,398,12148,22246,6317,2270,3130,89,8396,7788,29486,132,6,161,24,41780,1426,1974,660,71,36924,80.92044707429324,8425,18.463730002191543,281,0.6158229235152312,46068,99.88291921425784,27,0.05854039287108105,20,0.04336325397857855,7,0.015177138892502492,https://upload.wikimedia.org/wikipedia/commons/7/72/Escudo_de_Recoleta_%28Chile%29.svg,-33.40579381,-70.63958695
13,131,13128,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RENCA,43174,43165,99.97915412053551,9,0.02084587946449252,147151,49.39212101854557,72681,50.60787898145443,74470,6194.4,menor,97.6,46.8,32.1,14.7,13128,11694,8.147425625304814,17938,12.497735665017766,99768,69.51020692538145,14130,9.844631784295967,4834,3.285060923812954,mayor,19393,13.178979415702239,menor,43119,9,41371,43128,42917,33631,77.99577912289246,8235,19.098309329993736,2.905911547113803,3,511,558,4,177,6308,28137,4532,1794,312,64,8793,3188,28747,122,4,140,28,36837,1295,2245,543,42,34799,85.40679838016935,5711,14.01644373542766,235,0.5767578844029942,40919,99.86089418196016,31,0.075654041390082,24,0.058570870753611864,2,0.004880905896134323,https://upload.wikimedia.org/wikipedia/commons/3/34/Escudo_de_Renca.svg,-33.40191864,-70.72793517
