FID;FID_1;REGION;PROVINCIA;COMUNA;NOM_REGION;NOM_PROVIN;NOM_COMUNA;TOTAL_VIVI;PARTICULAR;COLECTIVAS;TOTAL_PERS;POR_HOMBRES;HOMBRES;POR_MUJERES;MUJERES;DENSIDAD;MEDIA_MAS;INDICE_MAS;INDICE_DEP;IND_DEP_JU;IND_DEP_VE;Shape__Are;Shape__Len
11;12;2;21;2101;REGIÓN DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;112451;112275;176;361873;50.3;181846;49.7;180027;11.8;menor;101;40.8;29.7;11.1;37127444668;1236881.754
12;13;2;21;2102;REGIÓN DE ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;4216;3976;240;13467;59.7;8035;40.3;5432;3.8;mayor;147.9;33.7;26.2;7.5;4230302435;383072.0762
13;14;2;21;2103;REGIÓN DE ANTOFAGASTA;ANTOFAGASTA;SIERRA GORDA;570;527;43;10186;85.0;8662;15.0;1524;0.8;mayor;568.4;4.6;3.3;1.3;15344048414;583905.1952
14;15;2;21;2104;REGIÓN DE ANTOFAGASTA;ANTOFAGASTA;TALTAL;4593;4548;45;13317;56.2;7481;43.8;5836;0.7;mayor;128.2;43.6;30.5;13.1;25089241898;859635.692
15;16;2;22;2201;REGIÓN DE ANTOFAGASTA;EL LOA;CALAMA;57307;56963;344;165731;51.9;86049;48.1;79682;10.6;menor;108;40.8;31.4;9.4;18278099852;703500.0912
16;17;2;22;2202;REGIÓN DE ANTOFAGASTA;EL LOA;OLLAGÜE;439;427;12;321;64.5;207;35.5;114;0.1;mayor;181.6;34.3;24.3;10;3388897013;308997.7304
17;18;2;22;2203;REGIÓN DE ANTOFAGASTA;EL LOA;SAN PEDRO DE ATACAMA;4144;3972;172;10996;56.0;6161;44.0;4835;0.5;mayor;127.4;29.5;21.2;8.3;28098847867;785747.2802
18;19;2;23;2301;REGIÓN DE ANTOFAGASTA;TOCOPILLA;TOCOPILLA;10670;10620;50;25186;49.6;12481;50.4;12705;6.2;menor;98.2;52.8;36.6;16.2;4714545313;432838.4292
19;20;2;23;2302;REGIÓN DE ANTOFAGASTA;TOCOPILLA;MARÍA ELENA;1959;1865;94;6457;63.4;4092;36.6;2365;0.5;mayor;173;25.2;19.4;5.8;14561258605;637254.8334
20;21;3;31;3101;REGIÓN DE ATACAMA;COPIAPÓ;COPIAPÓ;55565;55453;112;153937;49.8;76627;50.2;77310;8.7;menor;99.1;46.8;33.8;13;22623871504;1392631.044
21;22;3;31;3102;REGIÓN DE ATACAMA;COPIAPÓ;CALDERA;15651;15612;39;17662;51.5;9094;48.5;8568;4.8;menor;106.1;48.6;33.7;14.9;4667094790;555113.0708
22;23;3;31;3103;REGIÓN DE ATACAMA;COPIAPÓ;TIERRA AMARILLA;4745;4705;40;14019;55.6;7796;44.4;6223;1.2;mayor;125.3;43.1;32.2;10.9;14462008002;749082.4541
23;24;3;32;3201;REGIÓN DE ATACAMA;CHAÑARAL;CHAÑARAL;6153;6122;31;12219;51.3;6270;48.7;5949;2.1;menor;105.4;54.2;37.2;17;7222324856;501721.0781
24;25;3;32;3202;REGIÓN DE ATACAMA;CHAÑARAL;DIEGO DE ALMAGRO;6914;6812;102;13925;53.8;7486;46.2;6439;0.7;mayor;116.3;44.3;33.9;10.4;23699974504;938016.517
25;26;3;33;3301;REGIÓN DE ATACAMA;HUASCO;VALLENAR;19402;19339;63;51917;49.0;25422;51.0;26495;7.2;menor;96;54.1;35.2;18.9;9410173105;712645.7567
26;27;3;33;3302;REGIÓN DE ATACAMA;HUASCO;ALTO DEL CARMEN;2927;2903;24;5299;55.2;2925;44.8;2374;0.9;mayor;123.2;55.4;30;25.4;8078731143;527155.3093
27;28;3;33;3303;REGIÓN DE ATACAMA;HUASCO;FREIRINA;3511;3498;13;7041;50.5;3557;49.5;3484;2.2;menor;102.1;55.7;35.9;19.7;4212751841;490348.2258
28;29;3;33;3304;REGIÓN DE ATACAMA;HUASCO;HUASCO;6226;6201;25;10149;51.7;5243;48.3;4906;6.3;menor;106.9;51.7;33.6;18.1;2071849106;358767.2815
29;30;4;41;4101;REGIÓN DE COQUIMBO;ELQUI;LA SERENA;87464;87267;197;221054;47.9;105836;52.1;115218;116.3;menor;91.9;47.5;31.3;16.2;2532762459;306997.8514
30;31;4;41;4102;REGIÓN DE COQUIMBO;ELQUI;COQUIMBO;89499;89339;160;227730;48.2;109872;51.8;117858;159.8;menor;93.2;49.2;33.4;15.8;1915023876;325049.6999
31;32;4;41;4103;REGIÓN DE COQUIMBO;ELQUI;ANDACOLLO;4506;4491;15;11044;50.0;5519;50.0;5525;21.5;menor;99.9;55.8;34.6;21.2;692011215.6;150059.637
32;33;4;41;4104;REGIÓN DE COQUIMBO;ELQUI;LA HIGUERA;2660;2643;17;4241;52.7;2236;47.3;2005;1;mayor;111.5;56.3;35.4;20.9;5499324395;531925.6266
33;34;4;41;4105;REGIÓN DE COQUIMBO;ELQUI;PAIGUANO;2373;2348;25;4497;49.8;2240;50.2;2257;3;menor;99.2;49.9;28.1;21.8;2035479423;241573.3863
34;35;4;41;4106;REGIÓN DE COQUIMBO;ELQUI;VICUÑA;10779;10733;46;27771;49.7;13792;50.3;13979;3.7;menor;98.7;52;33.2;18.8;10121549267;684220.6596
35;36;4;42;4201;REGIÓN DE COQUIMBO;CHOAPA;ILLAPEL;12320;12285;35;30848;47.8;14739;52.2;16109;11.7;menor;91.5;56;34.2;21.8;3629461985;418774.8615
36;37;4;42;4202;REGIÓN DE COQUIMBO;CHOAPA;CANELA;5278;5270;8;9093;50.9;4632;49.1;4461;4.1;menor;103.8;62;29.6;32.4;3023150715;354071.9379
37;38;4;42;4203;REGIÓN DE COQUIMBO;CHOAPA;LOS VILOS;13288;13237;51;21382;51.7;11061;48.3;10321;11.5;menor;107.2;51.5;31.7;19.7;2590511814;339525.3377
38;39;4;42;4204;REGIÓN DE COQUIMBO;CHOAPA;SALAMANCA;10697;10612;85;29347;53.5;15712;46.5;13635;8.5;mayor;115.2;47.4;28.9;18.5;4794187013;437599.4338
39;40;4;43;4301;REGIÓN DE COQUIMBO;LIMARÍ;OVALLE;42095;42039;56;111272;48.2;53619;51.8;57653;31.3;menor;93;52.4;34.1;18.3;4812124885;561741.8502
40;41;4;43;4302;REGIÓN DE COQUIMBO;LIMARÍ;COMBARBALÁ;6999;6980;19;13322;50.0;6656;50.0;6666;5.8;menor;99.8;59.3;29.2;30.1;3144702788;328965.4839
41;42;4;43;4303;REGIÓN DE COQUIMBO;LIMARÍ;MONTE PATRIA;13074;13043;31;30751;49.7;15270;50.3;15481;7.3;menor;98.6;55;34.5;20.5;5731217023;442605.5836
42;43;4;43;4304;REGIÓN DE COQUIMBO;LIMARÍ;PUNITAQUI;4812;4806;6;10956;49.8;5452;50.2;5504;10;menor;99.1;60.3;36.4;23.9;1489514352;268506.2
43;44;4;43;4305;REGIÓN DE COQUIMBO;LIMARÍ;RÍO HURTADO;2764;2751;13;4278;50.0;2138;50.0;2140;1.9;menor;99.9;59.6;28.1;31.4;2976173996;362741.3797
44;45;5;51;5101;REGIÓN DE VALPARAÍSO;VALPARAÍSO;VALPARAÍSO;117196;116835;361;296655;48.9;144945;51.1;151710;935.3;menor;95.5;45.2;25.8;19.4;452071490.7;167384.2288
45;46;5;51;5102;REGIÓN DE VALPARAÍSO;VALPARAÍSO;CASABLANCA;11606;11588;18;26867;49.7;13346;50.3;13521;28.1;menor;98.7;47.5;29.6;17.9;1370067308;243996.5122
46;47;5;51;5103;REGIÓN DE VALPARAÍSO;VALPARAÍSO;CONCÓN;20290;20266;24;42152;48.2;20321;51.8;21831;549.9;menor;93.1;45.1;28.2;16.8;109192602.2;57332.81838
47;48;5;51;5104;REGIÓN DE VALPARAÍSO;VALPARAÍSO;JUAN FERNÁNDEZ;445;438;7;926;53.9;499;46.1;427;8.7;mayor;116.9;41.4;29.2;12.2;150532370.1;142974.4674
48;49;5;51;5105;REGIÓN DE VALPARAÍSO;VALPARAÍSO;PUCHUNCAVÍ;17451;17436;15;18546;50.5;9358;49.5;9188;61.7;menor;101.9;52.2;30.3;21.9;425977614.9;123980.4059
49;50;5;51;5107;REGIÓN DE VALPARAÍSO;VALPARAÍSO;QUINTERO;17442;17417;25;31923;49.6;15834;50.4;16089;218.4;menor;98.4;51.7;31.5;20.2;207524809.4;91870.51333
50;51;5;51;5109;REGIÓN DE VALPARAÍSO;VALPARAÍSO;VIÑA DEL MAR;147117;146844;273;334248;47.5;158669;52.5;175579;2772.2;menor;90.4;45.7;24.1;21.6;172001380;72706.62734
51;52;5;52;5201;REGIÓN DE VALPARAÍSO;ISLA DE PASCUA;ISLA DE PASCUA;3136;3022;114;7750;49.3;3819;50.7;3931;31.5;menor;97.2;37.6;29.1;8.4;207903357.7;87393.72096
52;53;5;53;5301;REGIÓN DE VALPARAÍSO;LOS ANDES;LOS ANDES;23661;23581;80;66708;49.9;33289;50.1;33419;54.1;menor;99.6;46.9;29.2;17.7;1757398389;271270.8312
53;54;5;53;5302;REGIÓN DE VALPARAÍSO;LOS ANDES;CALLE LARGA;5488;5484;4;14832;49.4;7328;50.6;7504;46;menor;97.7;51.5;34.3;17.2;458933999.8;119394.5962
54;55;5;53;5303;REGIÓN DE VALPARAÍSO;LOS ANDES;RINCONADA;3634;3622;12;10207;50.3;5134;49.7;5073;82.9;menor;101.2;51.7;35.1;16.6;175026759.4;69098.92581
55;56;5;53;5304;REGIÓN DE VALPARAÍSO;LOS ANDES;SAN ESTEBAN;7323;7317;6;18855;49.3;9303;50.7;9552;13.7;menor;97.4;50.9;32.9;18;1946417525;220295.8778
56;57;5;54;5401;REGIÓN DE VALPARAÍSO;PETORCA;LA LIGUA;17309;17285;24;35390;49.0;17340;51.0;18050;30.4;menor;96.1;51;30.5;20.5;1636332009;253834.5975
57;58;5;54;5402;REGIÓN DE VALPARAÍSO;PETORCA;CABILDO;7064;7052;12;19388;48.8;9467;51.2;9921;13.3;menor;95.4;52.8;33.7;19.1;2049622739;298882.7572
58;59;5;54;5403;REGIÓN DE VALPARAÍSO;PETORCA;PAPUDO;5823;5814;9;6356;52.6;3341;47.4;3015;38.1;menor;110.8;42.4;24.8;17.6;234596116.8;82471.292
59;60;5;54;5404;REGIÓN DE VALPARAÍSO;PETORCA;PETORCA;4446;4435;11;9826;49.8;4889;50.2;4937;6.5;menor;99;51.7;29.1;22.6;2123642733;256687.2167
60;61;5;54;5405;REGIÓN DE VALPARAÍSO;PETORCA;ZAPALLAR;6961;6954;7;7339;50.5;3704;49.5;3635;25.4;menor;101.9;48.8;27;21.8;408040672.1;115527.9771
61;62;5;55;5501;REGIÓN DE VALPARAÍSO;QUILLOTA;QUILLOTA;33118;33068;50;90517;48.1;43537;51.9;46980;300.2;menor;92.7;49.9;30;19.8;428803372.8;105623.4309
62;63;5;55;5502;REGIÓN DE VALPARAÍSO;QUILLOTA;CALERA;18106;18093;13;50554;48.4;24462;51.6;26092;852.4;menor;93.8;50.7;31;19.7;84013059.66;66716.07164
63;64;5;55;5503;REGIÓN DE VALPARAÍSO;QUILLOTA;HIJUELAS;6596;6589;7;17988;50.2;9037;49.8;8951;66.9;menor;101;48.1;30.6;17.5;382230816.4;107612.9615
64;65;5;55;5504;REGIÓN DE VALPARAÍSO;QUILLOTA;LA CRUZ;8064;8061;3;22098;48.2;10656;51.8;11442;282.8;menor;93.1;49.7;34.2;15.4;111108703.6;57173.09387
65;66;5;55;5506;REGIÓN DE VALPARAÍSO;QUILLOTA;NOGALES;7690;7681;9;22120;48.8;10799;51.2;11321;54.6;menor;95.4;52.2;32;20.1;573579477.9;122642.4242
66;67;5;56;5601;REGIÓN DE VALPARAÍSO;SAN ANTONIO;SAN ANTONIO;32493;32410;83;91350;48.9;44713;51.1;46637;229.2;menor;95.9;49.6;30.6;19;576533852.9;148715.2716
67;68;5;56;5602;REGIÓN DE VALPARAÍSO;SAN ANTONIO;ALGARROBO;19956;19944;12;13817;48.7;6734;51.3;7083;78.7;menor;95.1;58.4;27.8;30.6;252180955.8;87074.78997
68;69;5;56;5603;REGIÓN DE VALPARAÍSO;SAN ANTONIO;CARTAGENA;15778;15758;20;22738;49.5;11265;50.5;11473;93;menor;98.2;58.4;32;26.4;352543421.9;109229.1318
69;70;5;56;5604;REGIÓN DE VALPARAÍSO;SAN ANTONIO;EL QUISCO;18312;18260;52;15955;49.1;7826;50.9;8129;315;menor;96.3;63.6;29.3;34.3;72809579.98;50235.97475
70;71;5;56;5605;REGIÓN DE VALPARAÍSO;SAN ANTONIO;EL TABO;20596;20568;28;13286;50.3;6682;49.7;6604;134.2;menor;101.2;61.3;27.8;33.5;142687727;72091.65565
71;72;5;56;5606;REGIÓN DE VALPARAÍSO;SAN ANTONIO;SANTO DOMINGO;7828;7820;8;10900;49.8;5428;50.2;5472;20.5;menor;99.2;51.1;30.9;20.2;771919876.8;145674.8032
72;73;5;57;5701;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;SAN FELIPE;27708;27672;36;76844;48.4;37219;51.6;39625;411.2;menor;93.9;49.3;31.9;17.4;264713670.3;113645.9734
73;74;5;57;5702;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;CATEMU;5171;5164;7;13998;49.9;6982;50.1;7016;38.8;menor;99.5;52;31.8;20.2;511378437.2;111602.0327
74;75;5;57;5703;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;LLAILLAY;8927;8913;14;24608;49.6;12216;50.4;12392;70.5;menor;98.6;51.1;32.5;18.6;496434424;116252.4464
75;76;5;57;5704;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;PANQUEHUE;2514;2509;5;7273;50.6;3677;49.4;3596;60.1;menor;102.3;49.7;32.3;17.5;171872797.4;66678.99915
76;77;5;57;5705;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;PUTAENDO;6337;6312;25;16754;49.9;8358;50.1;8396;11.5;menor;99.5;53.2;30.4;22.8;2045289013;265557.4799
77;78;5;57;5706;REGIÓN DE VALPARAÍSO;SAN FELIPE DE ACONCAGUA;SANTA MARÍA;5587;5584;3;15241;49.8;7586;50.2;7655;92;menor;99.1;49.7;31;18.6;234560072.4;90401.83518
78;79;5;58;5801;REGIÓN DE VALPARAÍSO;MARGA MARGA;QUILPUÉ;56851;56819;32;151708;47.3;71746;52.7;79962;283;menor;89.7;49.4;27.5;21.9;766337794.6;191961.0495
79;80;5;58;5802;REGIÓN DE VALPARAÍSO;MARGA MARGA;LIMACHE;16710;16683;27;46121;48.5;22353;51.5;23768;156.2;menor;94;52.2;30.9;21.3;421179751.8;140932.5435
80;81;5;58;5803;REGIÓN DE VALPARAÍSO;MARGA MARGA;OLMUÉ;9090;9085;5;17516;49.1;8597;50.9;8919;75.7;menor;96.4;53.6;29.3;24.3;329842005.3;83271.92923
81;82;5;58;5804;REGIÓN DE VALPARAÍSO;MARGA MARGA;VILLA ALEMANA;44982;44937;45;126548;47.2;59756;52.8;66792;1318;menor;89.5;49.3;29.8;19.5;136992830.9;60159.73748
82;83;13;131;13101;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;SANTIAGO;193628;193263;365;404495;51.1;206678;48.9;197817;17485.2;menor;104.5;24.4;15.2;9.2;33366985.8;28964.17331
83;84;13;131;13102;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;CERRILLOS;24547;24531;16;80832;49.0;39631;51.0;41201;4818.8;menor;96.2;47;29.5;17.5;24197898.52;25050.88206
84;85;13;131;13103;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;CERRO NAVIA;38020;38016;4;132622;49.3;65438;50.7;67184;11949.6;menor;97.4;47.4;29.2;18.2;16101300.74;19750.08273
85;86;13;131;13104;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;CONCHALÍ;37759;37735;24;126955;48.7;61877;51.3;65078;11427.9;menor;95.1;47.8;27.5;20.3;15905959.12;16776.20388
86;87;13;131;13105;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;EL BOSQUE;47941;47892;49;162505;48.8;79372;51.2;83133;11344.6;menor;95.5;48.2;30.1;18.1;20556192.96;18499.71312
87;88;13;131;13106;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;ESTACIÓN CENTRAL;52486;52413;73;147041;50.0;73458;50.0;73583;10244.4;menor;99.8;39.2;22.7;16.5;20762011.62;22529.29216
88;89;13;131;13107;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;HUECHURABA;28945;28939;6;98671;48.8;48122;51.2;50549;2197.5;menor;95.2;48.9;34.7;14.2;64682843.07;38454.14637
89;90;13;131;13108;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;INDEPENDENCIA;36666;36612;54;100281;49.0;49186;51.0;51095;13627.2;menor;96.3;38.4;23.2;15.2;10657655.74;13645.15718
90;91;13;131;13109;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LA CISTERNA;31480;31421;59;90119;47.9;43147;52.1;46972;9030.7;menor;91.9;47.4;26.2;21.2;14552391.07;15270.07039
91;92;13;131;13110;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LA FLORIDA;120035;119960;75;366916;47.9;175693;52.1;191223;5180.7;menor;91.9;45.3;26.6;18.6;102326496;58877.61978
92;93;13;131;13111;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LA GRANJA;34423;34403;20;116571;48.9;57025;51.1;59546;11553.6;menor;95.8;45.5;28.2;17.4;14638991.17;16953.26505
93;94;13;131;13112;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LA PINTANA;50042;50012;30;177335;49.1;87044;50.9;90291;5823.6;menor;96.4;48.5;34.9;13.6;44102900.38;31888.36785
94;95;13;131;13113;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LA REINA;29801;29732;69;92787;47.0;43599;53.0;49188;3958.8;menor;88.6;48.7;26.5;22.2;33685680.5;28281.82668
95;96;13;131;13114;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LAS CONDES;118007;117901;106;294838;46.1;135917;53.9;158921;2977;menor;85.5;44.7;22.1;22.6;142733761.4;61357.34817
96;97;13;131;13115;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LO BARNECHEA;31225;31195;30;105833;47.7;50500;52.3;55333;103.4;menor;91.3;44.6;33.6;11;1469094241;177255.594
97;98;13;131;13116;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LO ESPEJO;26774;26762;12;98804;49.7;49146;50.3;49658;11986.6;menor;99;45.8;28.7;17.1;11704346.78;13747.20512
98;99;13;131;13117;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;LO PRADO;29526;29516;10;96249;48.6;46799;51.4;49450;14672.9;menor;94.6;48.7;27;21.6;9445860.598;12768.25843
99;100;13;131;13118;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;MACUL;43121;43085;36;116534;47.3;55161;52.7;61373;9074.2;menor;89.9;45.8;24.4;21.4;18520195.43;18281.4246
100;101;13;131;13119;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;MAIPÚ;161354;161301;53;521627;48.1;250792;51.9;270835;3788.7;menor;92.6;40.3;27.1;13.2;198389205.4;73181.78779
101;102;13;131;13120;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;ÑUÑOA;92248;92121;127;208237;45.8;95409;54.2;112828;12353;menor;84.6;41.8;21.1;20.7;24312289.92;21168.7374
102;103;13;131;13121;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;PEDRO AGUIRRE CERDA;29906;29890;16;101174;48.9;49513;51.1;51661;11553.8;menor;95.8;47.2;26.3;20.9;12650067.09;15593.00824
103;104;13;131;13122;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;PEÑALOLÉN;70394;70376;18;241599;48.4;116882;51.6;124717;4506.9;menor;93.7;44.2;29.3;14.9;77268398.52;43484.87296
104;105;13;131;13123;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;PROVIDENCIA;70965;70738;227;142079;46.2;65710;53.8;76369;9873.1;menor;86;39.2;17.4;21.8;20543805.65;19164.55702
105;106;13;131;13124;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;PUDAHUEL;68940;68918;22;230293;48.8;112412;51.2;117881;1167.5;menor;95.4;41.5;29.5;12;283968135.4;85102.01869
106;107;13;131;13125;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;QUILICURA;62470;62461;9;210410;49.2;103456;50.8;106954;3670.7;menor;96.7;39.3;31.7;7.6;82393986.53;41289.84419
107;108;13;131;13126;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;QUINTA NORMAL;38989;38951;38;110026;48.8;53669;51.2;56357;9311.9;menor;95.2;43.9;25.2;18.7;16872413.37;20954.3839
108;109;13;131;13127;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;RECOLETA;50178;50113;65;157851;49.2;77709;50.8;80142;10000.2;menor;97;44;26;18.1;22677272.52;22059.81623
109;110;13;131;13128;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;RENCA;43174;43165;9;147151;49.4;72681;50.6;74470;6194.4;menor;97.6;46.8;32.1;14.7;34035034;34207.31409
110;111;13;131;13129;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;SAN JOAQUÍN;30096;30071;25;94492;48.5;45831;51.5;48661;9504.2;menor;94.2;47.1;25.3;21.8;14196855.21;16866.66702
111;112;13;131;13130;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;SAN MIGUEL;42947;42893;54;107954;47.0;50738;53.0;57216;11229.8;menor;88.7;41.6;23.5;18.1;14038301.45;16018.45656
112;113;13;131;13131;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;SAN RAMÓN;23855;23843;12;82900;49.3;40873;50.7;42027;13207.6;menor;97.3;50.8;28.8;22;8935112.588;14023.82747
113;114;13;131;13132;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;VITACURA;31777;31745;32;85384;45.0;38402;55.0;46982;3003.8;menor;81.7;56.4;28.8;27.5;40948101.54;30663.79935
114;115;13;132;13201;REGIÓN METROPOLITANA DE SANTIAGO;CORDILLERA;PUENTE ALTO;171511;171450;61;568106;48.4;275147;51.6;292959;6439.5;menor;93.9;41.4;30.6;10.8;127416650.1;59058.97191
115;116;13;132;13202;REGIÓN METROPOLITANA DE SANTIAGO;CORDILLERA;PIRQUE;8308;8296;12;26521;50.6;13429;49.4;13092;59.6;menor;102.6;44.9;30.3;14.6;645581140.4;124097.2466
116;117;13;132;13203;REGIÓN METROPOLITANA DE SANTIAGO;CORDILLERA;SAN JOSÉ DE MAIPO;6926;6850;76;18189;54.2;9861;45.8;8328;3.7;mayor;118.4;40.6;25.1;15.5;7222227505;576352.5605
117;118;13;133;13301;REGIÓN METROPOLITANA DE SANTIAGO;CHACABUCO;COLINA;43028;43000;28;146207;51.0;74635;49.0;71572;150.6;menor;104.3;47.5;38.7;8.8;1388291115;203420.7382
118;119;13;133;13302;REGIÓN METROPOLITANA DE SANTIAGO;CHACABUCO;LAMPA;33342;33316;26;102034;50.5;51545;49.5;50489;226.7;menor;102.1;47.1;38.6;8.6;645915507.5;126276.029
119;120;13;133;13303;REGIÓN METROPOLITANA DE SANTIAGO;CHACABUCO;TILTIL;6934;6900;34;19312;52.0;10047;48.0;9265;29.5;menor;108.4;45.9;30.8;15.2;934028891.8;159192.437
120;121;13;134;13401;REGIÓN METROPOLITANA DE SANTIAGO;MAIPO;SAN BERNARDO;90241;90193;48;301313;49.1;147800;50.9;153513;1970.9;menor;96.3;45.7;33.1;12.6;221343836.3;102327.6327
121;122;13;134;13402;REGIÓN METROPOLITANA DE SANTIAGO;MAIPO;BUIN;31152;31109;43;96614;49.2;47575;50.8;49039;444.2;menor;97;45.3;32.6;12.7;315540028.1;105298.6319
122;123;13;134;13403;REGIÓN METROPOLITANA DE SANTIAGO;MAIPO;CALERA DE TANGO;7601;7588;13;25392;50.1;12718;49.9;12674;347.2;menor;100.3;43.6;30;13.5;105831328;53700.8484
123;124;13;134;13404;REGIÓN METROPOLITANA DE SANTIAGO;MAIPO;PAINE;24462;24431;31;72759;50.2;36521;49.8;36238;107.4;menor;100.8;46.2;32;14.2;985040694.8;194491.7714
124;125;13;135;13501;REGIÓN METROPOLITANA DE SANTIAGO;MELIPILLA;MELIPILLA;43393;43329;64;123627;49.7;61410;50.3;62217;91.4;menor;98.7;48.1;31;17.1;1960011202;277486.9996
125;126;13;135;13502;REGIÓN METROPOLITANA DE SANTIAGO;MELIPILLA;ALHUÉ;2658;2627;31;6444;54.6;3516;45.4;2928;7.6;mayor;120.1;42.5;26.8;15.7;1233230277;184082.7121
126;127;13;135;13503;REGIÓN METROPOLITANA DE SANTIAGO;MELIPILLA;CURACAVÍ;11806;11784;22;32579;49.8;16222;50.2;16357;46.9;menor;99.2;48.2;30.6;17.6;997658179.1;183504.9706
