FID,FID_1,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,Shape__Are,Shape__Len
136,137,6,61,6103,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COINCO,2808,2804,4,7359,3729,3630,75.7,102.7,50.6,28.7,21.9,142817347.607422,72907.517689803
137,138,6,61,6104,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,COLTAUCO,7567,7562,5,19597,9806,9791,88.1,100.2,50.1,31.3,18.7,326618189.224609,106546.998857997
138,139,6,61,6105,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,7738,7732,6,20887,10394,10493,260.6,99.1,49.3,32.2,17.1,117361953.537109,52774.7957240483
139,140,6,61,6106,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,11391,11379,12,33437,16634,16803,297.9,99.0,48.7,34.5,14.2,164020453.617188,66122.2193795365
140,141,6,61,6107,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,LAS CABRAS,11894,11863,31,24640,12656,11984,32.8,105.6,48.5,29.5,19.1,1098777079.33594,186833.928004231
141,142,6,61,6108,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,MACHALÍ,19701,19678,23,52505,25585,26920,20.2,95.0,48.9,36.7,12.3,3813705887.29688,342001.717413863
142,143,6,61,6109,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,MALLOA,5023,5018,5,13407,6819,6588,60.9,103.5,48.3,28.2,20.1,324704461.076172,131887.38568394
143,144,6,61,6110,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,MOSTAZAL,9100,9090,10,25343,12663,12680,48.3,99.9,49.0,32.4,16.6,764970785.599609,150242.181404017
144,145,6,61,6111,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,OLIVAR,4636,4630,6,13608,6822,6786,287.6,100.5,46.5,31.0,15.5,69414146.4375,46209.0536238529
145,146,6,61,6112,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,PEUMO,4931,4924,7,14313,7237,7076,92.2,102.3,47.9,29.1,18.9,227862745.185547,72526.4419473515
146,147,6,61,6113,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,PICHIDEGUA,7287,7277,10,19714,10080,9634,61.8,104.6,48.8,28.6,20.2,468907659.304688,123228.447963596
147,148,6,61,6114,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,QUINTA DE TILCOCO,4740,4729,11,13002,6519,6483,149.9,100.6,47.5,28.6,18.9,127652869.244141,53803.5173745583
148,149,6,61,6115,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RENGO,20848,20827,21,58825,28844,29981,100.6,96.2,48.7,31.6,17.0,862735969.291016,199876.860802274
149,150,6,61,6116,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,REQUÍNOA,9236,9210,26,27968,14125,13843,41.5,102.0,46.0,31.7,14.3,991141596.095703,166382.734110048
150,151,6,61,6117,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,SAN VICENTE,17584,17564,20,46766,23302,23464,96.6,99.3,49.4,29.4,19.9,714307297.193359,145933.533499205
151,152,6,62,6201,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,PICHILEMU,12056,12029,27,16394,8289,8105,22.9,102.3,47.6,27.9,19.7,1052382635.75586,218509.918062254
152,153,6,62,6202,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,LA ESTRELLA,1893,1891,2,3041,1603,1438,7.0,111.5,51.4,24.5,26.9,634667849.935547,149534.449003037
153,154,6,62,6203,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,LITUECHE,3485,3476,9,6294,3287,3007,10.2,109.3,51.2,27.7,23.4,905889919.794922,226737.244525672
154,155,6,62,6204,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,MARCHIHUE,3419,3411,8,7308,3745,3563,11.1,105.1,50.6,25.9,24.7,967222047.478516,202216.294866908
155,156,6,62,6205,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,NAVIDAD,5525,5509,16,6641,3475,3166,22.2,109.8,59.7,25.7,34.0,435844577.072266,114251.988971657
156,157,6,62,6206,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,PAREDONES,3852,3840,12,6188,3220,2968,10.8,108.5,53.5,24.3,29.3,850074173.457031,162088.604445036
157,158,6,63,6301,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,SAN FERNANDO,28736,28661,75,73973,36077,37896,31.9,95.2,49.4,31.9,17.5,3446549936.54102,321145.799504837
158,159,6,63,6302,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,CHÉPICA,5740,5736,4,15037,7577,7460,31.5,101.6,50.4,28.6,21.8,710036666.640625,177737.646243012
159,160,6,63,6303,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,CHIMBARONGO,12923,12909,14,35399,17824,17575,69.6,101.4,47.7,30.1,17.6,755422186.791016,148337.570465643
160,161,6,63,6304,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,LOLOL,2982,2976,6,6811,3471,3340,11.4,103.9,52.9,26.4,26.5,886407475.414063,173083.864961709
161,162,6,63,6305,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,NANCAGUA,6546,6535,11,17833,8830,9003,117.6,98.1,48.3,29.8,18.5,224367071.761719,90301.8199745981
162,163,6,63,6306,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,PALMILLA,4553,4549,4,12482,6331,6151,53.1,102.9,45.7,27.3,18.4,347149636.560547,102886.830947623
163,164,6,63,6307,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,PERALILLO,4490,4485,5,11007,5538,5469,39.0,101.3,49.1,27.3,21.8,416263186.109375,116181.226306731
164,165,6,63,6308,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,PLACILLA,3180,3174,6,8738,4432,4306,60.6,102.9,48.2,28.4,19.8,213666461.505859,67740.8343496495
165,166,6,63,6309,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,PUMANQUE,1670,1668,2,3421,1751,1670,7.8,104.9,49.7,21.3,28.4,652377725.335938,130162.840825767
166,167,6,63,6310,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,SANTA CRUZ,14334,14300,34,37855,18593,19262,96.1,96.5,48.5,29.5,19.0,583245594.814453,152689.620454771
167,168,7,71,7101,REGIÓN DEL MAULE,TALCA,TALCA,80810,80575,235,220357,105622,114735,949.8,92.1,45.2,27.9,17.3,350271466.792969,103620.78583733
168,169,7,71,7102,REGIÓN DEL MAULE,TALCA,CONSTITUCIÓN,18740,18660,80,46068,23005,23063,34.5,99.7,47.5,32.5,14.9,2007967540.64844,316189.422350194
169,170,7,71,7103,REGIÓN DEL MAULE,TALCA,CUREPTO,4556,4550,6,9448,4852,4596,8.8,105.6,56.0,24.1,31.9,1600601692.93945,232997.135302325
170,171,7,71,7104,REGIÓN DEL MAULE,TALCA,EMPEDRADO,1660,1652,8,4142,2199,1943,7.3,113.2,48.8,29.9,18.9,860620384.958984,173674.043146508
171,172,7,71,7105,REGIÓN DEL MAULE,TALCA,MAULE,18683,18670,13,49721,24259,25462,204.6,95.3,48.7,38.6,10.1,367211249.421875,98098.616252838
172,173,7,71,7106,REGIÓN DEL MAULE,TALCA,PELARCO,3282,3278,4,8422,4231,4191,25.5,101.0,51.8,29.7,22.1,498573968.658203,137191.771524423
173,174,7,71,7107,REGIÓN DEL MAULE,TALCA,PENCAHUE,3555,3551,4,8245,4242,4003,8.6,106.0,49.9,26.7,23.2,1438625970.35156,214402.305676237
174,175,7,71,7108,REGIÓN DEL MAULE,TALCA,RÍO CLARO,5506,5500,6,13906,7246,6660,32.1,108.8,47.5,28.2,19.3,650377519.089844,175015.90445197
175,176,7,71,7109,REGIÓN DEL MAULE,TALCA,SAN CLEMENTE,18387,18348,39,43269,21677,21592,9.6,100.4,49.8,31.3,18.5,6841275148.49219,545188.164438218
176,177,7,71,7110,REGIÓN DEL MAULE,TALCA,SAN RAFAEL,3593,3590,3,9191,4569,4622,34.9,98.9,52.3,33.2,19.1,395618296.789063,117189.348975374
177,178,7,72,7201,REGIÓN DEL MAULE,CAUQUENES,CAUQUENES,17895,17878,17,40441,19314,21127,19.0,91.4,56.7,31.0,25.7,3250404904.8125,373173.819799278
178,179,7,72,7202,REGIÓN DEL MAULE,CAUQUENES,CHANCO,3704,3697,7,8928,4450,4478,16.9,99.4,54.2,30.1,24.1,802100029.705078,165847.524930859
179,180,7,72,7203,REGIÓN DEL MAULE,CAUQUENES,PELLUHUE,5791,5758,33,7571,3765,3806,20.5,98.9,58.2,31.6,26.5,564084594.837891,160176.486107963
180,181,7,73,7301,REGIÓN DEL MAULE,CURICÓ,CURICÓ,54598,54549,49,149136,72511,76625,111.9,94.6,46.1,30.2,15.8,2001250360.20313,386869.81270362
181,182,7,73,7302,REGIÓN DEL MAULE,CURICÓ,HUALAÑÉ,4329,4322,7,9657,4883,4774,15.3,102.3,52.9,27.6,25.4,942370842.394531,214202.162951535
182,183,7,73,7303,REGIÓN DEL MAULE,CURICÓ,LICANTÉN,3959,3931,28,6653,3353,3300,24.5,101.6,49.8,27.7,22.2,405683609.576172,138129.961151716
183,184,7,73,7304,REGIÓN DEL MAULE,CURICÓ,MOLINA,17338,17305,33,45976,22635,23341,30.3,97.0,48.3,30.4,17.9,2287254842.16406,416934.249658692
184,185,7,73,7305,REGIÓN DEL MAULE,CURICÓ,RAUCO,4158,4156,2,10484,5238,5246,33.9,99.8,49.6,29.4,20.2,460962580.951172,162931.804257517
185,186,7,73,7306,REGIÓN DEL MAULE,CURICÓ,ROMERAL,5709,5684,25,15187,7624,7563,9.5,100.8,45.8,29.1,16.7,2399735651.3125,313962.221860105
186,187,7,73,7307,REGIÓN DEL MAULE,CURICÓ,SAGRADA FAMILIA,6842,6837,5,18544,9384,9160,33.8,102.4,45.9,27.9,18.1,820070280.650391,159034.50107895
187,188,7,73,7308,REGIÓN DEL MAULE,CURICÓ,TENO,10807,10789,18,28921,14764,14157,46.7,104.3,46.6,28.8,17.8,922297327.611328,204317.218715781
188,189,7,73,7309,REGIÓN DEL MAULE,CURICÓ,VICHUQUÉN,3465,3453,12,4322,2217,2105,9.6,105.3,52.0,26.1,25.8,671583317.619141,143627.63741022
189,190,7,74,7401,REGIÓN DEL MAULE,LINARES,LINARES,35676,35641,35,93602,44671,48931,63.8,91.3,50.1,31.3,18.8,2243375927.16797,350473.408212514
190,191,7,74,7402,REGIÓN DEL MAULE,LINARES,COLBÚN,9021,8995,26,20765,10205,10560,7.1,96.6,52.5,32.0,20.4,4488931910.95898,528791.85566753
191,192,7,74,7403,REGIÓN DEL MAULE,LINARES,LONGAVÍ,11888,11881,7,30534,15482,15052,21.0,102.9,48.9,29.5,19.4,2232577638.67969,325230.499353139
192,193,7,74,7404,REGIÓN DEL MAULE,LINARES,PARRAL,17448,17427,21,41637,20165,21472,25.4,93.9,53.8,32.4,21.4,2522235104.44336,429278.211662928
193,194,7,74,7405,REGIÓN DEL MAULE,LINARES,RETIRO,8260,8251,9,19974,10054,9920,24.2,101.4,50.9,30.1,20.9,1262941186.14258,242686.42293987
194,195,7,74,7406,REGIÓN DEL MAULE,LINARES,SAN JAVIER,17895,17869,26,45547,22002,23545,34.7,93.4,51.7,31.7,19.9,1987214684.87695,263007.491346059
195,196,7,74,7407,REGIÓN DEL MAULE,LINARES,VILLA ALEGRE,6833,6826,7,16221,7880,8341,85.4,94.5,53.4,30.8,22.6,288426096.802734,88351.7980183883
196,197,7,74,7408,REGIÓN DEL MAULE,LINARES,YERBAS BUENAS,6813,6811,2,18081,9125,8956,69.6,101.9,49.6,31.4,18.2,394528556.037109,105830.96328675
197,198,16,161,16101,REGIÓN DEL ÑUBLE,DIGUILLÍN,CHILLÁN,67854,67744,110,184739,87521,97218,388.9,90.0,46.7,28.9,17.8,737849045.679688,257551.520424302
198,199,16,161,16102,REGIÓN DEL ÑUBLE,DIGUILLÍN,BULNES,8751,8742,9,21493,10382,11111,50.3,93.4,51.1,29.9,21.3,666358727.246094,138020.685859712
199,200,16,161,16103,REGIÓN DEL ÑUBLE,DIGUILLÍN,CHILLÁN VIEJO,11276,11267,9,30907,14581,16326,117.2,89.3,46.9,33.0,13.9,410572534.453125,112307.458661228
200,201,16,161,16104,REGIÓN DEL ÑUBLE,DIGUILLÍN,EL CARMEN,4913,4909,4,12044,5967,6077,18.1,98.2,53.3,29.0,24.3,1044451751.01172,189569.129000463
201,202,16,161,16105,REGIÓN DEL ÑUBLE,DIGUILLÍN,PEMUCO,3430,3425,5,8448,4221,4227,15.0,99.9,50.4,29.5,20.9,882226498.515625,242420.856663645
202,203,16,161,16106,REGIÓN DEL ÑUBLE,DIGUILLÍN,PINTO,5429,5414,15,10827,5336,5491,9.8,97.2,49.2,27.1,22.1,1729502955.96875,323736.153833461
203,204,16,161,16107,REGIÓN DEL ÑUBLE,DIGUILLÍN,QUILLÓN,10739,10734,5,17485,8664,8821,43.0,98.2,54.2,27.8,26.3,635126893.21875,158991.558438114
204,205,16,161,16108,REGIÓN DEL ÑUBLE,DIGUILLÍN,SAN IGNACIO,6651,6647,4,16079,7882,8197,44.4,96.2,50.7,28.4,22.3,565992102.050781,151410.985128205
205,206,16,161,16109,REGIÓN DEL ÑUBLE,DIGUILLÍN,YUNGAY,8284,8265,19,17787,8964,8823,21.6,101.6,51.4,29.3,22.1,1297010794.69922,253489.313536197
206,207,16,162,16201,REGIÓN DEL ÑUBLE,ITATA,QUIRIHUE,5248,5234,14,11594,5679,5915,19.8,96.0,53.2,28.9,24.3,899020977.78125,219747.251488244
207,208,16,162,16202,REGIÓN DEL ÑUBLE,ITATA,COBQUECURA,3213,3199,14,5012,2525,2487,8.7,101.5,53.9,22.7,31.2,886199713.902344,198607.148342506
208,209,16,162,16203,REGIÓN DEL ÑUBLE,ITATA,COELEMU,6140,6128,12,15995,7873,8122,46.5,96.9,53.1,30.5,22.5,532782358.613281,123516.389004377
209,210,16,162,16204,REGIÓN DEL ÑUBLE,ITATA,NINHUE,2299,2297,2,5213,2567,2646,12.9,97.0,55.0,25.7,29.3,622034044.863281,147825.294721535
210,211,16,162,16205,REGIÓN DEL ÑUBLE,ITATA,PORTEZUELO,2070,2067,3,4862,2416,2446,16.8,98.8,54.1,27.3,26.8,447824610.935547,107003.719599649
211,212,16,162,16206,REGIÓN DEL ÑUBLE,ITATA,RÁNQUIL,2826,2821,5,5755,2842,2913,23.1,97.6,58.3,28.0,30.3,386357581.464844,101751.0297015
212,213,16,162,16207,REGIÓN DEL ÑUBLE,ITATA,TREGUACO,2524,2522,2,5401,2703,2698,17.2,100.2,52.7,27.8,24.9,484071326.181641,147016.565145378
213,214,16,163,16301,REGIÓN DEL ÑUBLE,PUNILLA,SAN CARLOS,20980,20963,17,53024,25425,27599,60.5,92.1,51.0,29.5,21.5,1354553610.2207,253659.892111176
214,215,16,163,16302,REGIÓN DEL ÑUBLE,PUNILLA,COIHUECO,10054,10048,6,26881,13424,13457,15.2,99.8,47.8,30.9,16.9,2760211454.51172,332897.784840029
215,216,16,163,16303,REGIÓN DEL ÑUBLE,PUNILLA,ÑIQUÉN,4842,4837,5,11152,5616,5536,22.6,101.4,56.1,28.1,28.1,761201673.501953,192477.497826819
216,217,16,163,16304,REGIÓN DEL ÑUBLE,PUNILLA,SAN FABIÁN,2306,2298,8,4308,2203,2105,2.8,104.7,55.4,28.8,26.6,2396107112.30078,379516.701436761
217,218,16,163,16305,REGIÓN DEL ÑUBLE,PUNILLA,SAN NICOLÁS,4727,4725,2,11603,5796,5807,20.5,99.8,49.6,27.8,21.8,878015120.207031,162472.117506895
218,219,8,81,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,85638,85352,286,223574,107624,115950,1033.6,92.8,39.2,21.8,17.3,337655453.890625,104779.935818661
219,220,8,81,8102,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,41175,41144,31,116262,55799,60463,424.9,92.3,47.6,33.2,14.4,429472775.046875,156823.692970975
220,221,8,81,8103,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,28959,28943,16,85938,40505,45433,1354.6,89.2,44.6,28.3,16.3,99210118.5039063,60471.5866661207
221,222,8,81,8104,REGIÓN DEL BIOBÍO,CONCEPCIÓN,FLORIDA,5172,5164,8,10624,5386,5238,17.5,102.8,51.5,25.9,25.6,946532324.0,175992.449276753
222,223,8,81,8105,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALQUI,9031,9012,19,24333,11843,12490,45.5,94.8,49.2,32.6,16.6,839128259.890625,168142.435285038
223,224,8,81,8106,REGIÓN DEL BIOBÍO,CONCEPCIÓN,LOTA,15489,15486,3,43535,20950,22585,378.5,92.8,48.9,30.0,18.9,180821659.601563,80583.6152443255
224,225,8,81,8107,REGIÓN DEL BIOBÍO,CONCEPCIÓN,PENCO,15834,15824,10,47367,22617,24750,440.0,91.4,47.1,29.6,17.6,167710460.785156,85196.009340286
225,226,8,81,8108,REGIÓN DEL BIOBÍO,CONCEPCIÓN,SAN PEDRO DE LA PAZ,47511,47489,22,131808,62941,68867,1435.3,91.4,46.4,33.6,12.8,143580130.441406,63232.79166453
226,227,8,81,8109,REGIÓN DEL BIOBÍO,CONCEPCIÓN,SANTA JUANA,6219,6211,8,13749,6751,6998,17.6,96.5,53.9,31.3,22.6,1233219765.20703,212005.229804111
227,228,8,81,8110,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,50599,50550,49,151749,72993,78756,1624.6,92.7,45.0,27.5,17.5,145493090.804688,122103.033577036
228,229,8,81,8111,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,23323,23311,12,54946,25919,29027,110.6,89.3,50.5,28.9,21.6,771827563.28125,182212.48311498
229,230,8,81,8112,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,30722,30704,18,91773,43488,48285,2008.7,90.1,46.2,27.9,18.3,71218738.3203125,57747.7140343799
230,231,8,82,8201,REGIÓN DEL BIOBÍO,ARAUCO,LEBU,9288,9262,26,25522,12441,13081,45.4,95.1,50.0,33.6,16.4,896544006.574219,267490.102065524
231,232,8,82,8202,REGIÓN DEL BIOBÍO,ARAUCO,ARAUCO,13252,13211,41,36257,17875,18382,37.8,97.2,48.0,31.7,16.3,1515518266.0,271736.026939422
232,233,8,82,8203,REGIÓN DEL BIOBÍO,ARAUCO,CAÑETE,12855,12835,20,34537,16641,17896,31.7,93.0,54.5,36.0,18.5,1747980313.84375,286923.811237001
233,234,8,82,8204,REGIÓN DEL BIOBÍO,ARAUCO,CONTULMO,2694,2687,7,6031,3028,3003,9.4,100.8,53.6,31.5,22.1,1033771357.64844,247329.515637421
234,235,8,82,8205,REGIÓN DEL BIOBÍO,ARAUCO,CURANILAHUE,11301,11290,11,32288,15828,16460,32.1,96.2,49.1,32.2,16.9,1593853083.25781,251827.108784883
235,236,8,82,8206,REGIÓN DEL BIOBÍO,ARAUCO,LOS ÁLAMOS,7721,7711,10,21035,10203,10832,34.9,94.2,53.5,37.4,16.1,961624770.773438,235085.58934844
236,237,8,82,8207,REGIÓN DEL BIOBÍO,ARAUCO,TIRÚA,4052,4041,11,10417,5195,5222,16.6,99.5,51.5,37.0,14.6,1019758788.5625,205804.165087817
237,238,8,83,8301,REGIÓN DEL BIOBÍO,BIOBÍO,LOS ÁNGELES,74936,74832,104,202331,97980,104351,115.5,93.9,48.9,32.7,16.2,2779001547.55078,317642.818768888
238,239,8,83,8302,REGIÓN DEL BIOBÍO,BIOBÍO,ANTUCO,2008,1996,12,4073,1975,2098,2.1,94.1,56.4,31.1,25.2,3097610482.46875,390680.89040533
239,240,8,83,8303,REGIÓN DEL BIOBÍO,BIOBÍO,CABRERO,11048,11028,20,28573,14174,14399,43.4,98.4,48.4,30.5,17.9,1034227658.11719,177259.9492862
240,241,8,83,8304,REGIÓN DEL BIOBÍO,BIOBÍO,LAJA,8747,8734,13,22389,10744,11645,65.1,92.3,53.8,33.1,20.7,543470069.441406,97419.4251992216
241,242,8,83,8305,REGIÓN DEL BIOBÍO,BIOBÍO,MULCHÉN,10689,10665,24,29627,14597,15030,15.4,97.1,52.6,32.7,19.9,3082443220.79688,379762.586559371
242,243,8,83,8306,REGIÓN DEL BIOBÍO,BIOBÍO,NACIMIENTO,10130,10107,23,26315,12962,13353,29.0,97.1,51.0,32.9,18.1,1441694451.19531,242252.268094876
243,244,8,83,8307,REGIÓN DEL BIOBÍO,BIOBÍO,NEGRETE,3521,3518,3,9737,4813,4924,62.6,97.7,53.1,33.6,19.5,247799050.296875,95503.4663114286
244,245,8,83,8308,REGIÓN DEL BIOBÍO,BIOBÍO,QUILACO,1936,1931,5,3988,2001,1987,3.5,100.7,61.5,29.0,32.4,1812783548.35547,350061.028402891
245,246,8,83,8309,REGIÓN DEL BIOBÍO,BIOBÍO,QUILLECO,3880,3875,5,9587,4720,4867,8.5,97.0,57.5,30.2,27.3,1783508480.09766,297620.754631448
246,247,8,83,8310,REGIÓN DEL BIOBÍO,BIOBÍO,SAN ROSENDO,1500,1497,3,3412,1661,1751,36.9,94.9,57.3,31.4,26.0,145618822.09375,70279.8411277545
247,248,8,83,8311,REGIÓN DEL BIOBÍO,BIOBÍO,SANTA BÁRBARA,5447,5432,15,13773,6699,7074,11.0,94.7,55.6,33.9,21.7,1996068533.97656,285755.854347383
248,249,8,83,8312,REGIÓN DEL BIOBÍO,BIOBÍO,TUCAPEL,6510,6500,10,14134,6876,7258,15.5,94.7,56.3,31.9,24.4,1438157194.80859,210256.560708121
249,250,8,83,8313,REGIÓN DEL BIOBÍO,BIOBÍO,YUMBEL,10248,10234,14,21198,10465,10733,29.1,97.5,53.6,27.6,26.0,1146883277.67969,215543.065572256
250,251,8,83,8314,REGIÓN DEL BIOBÍO,BIOBÍO,ALTO BIOBÍO,2137,2107,30,5923,3036,2887,2.8,105.2,57.6,45.5,12.1,3414319254.75781,321774.096446971
251,252,9,91,9101,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,104757,104553,204,282415,134289,148126,606.2,90.7,43.8,28.2,15.5,764074904.550781,140875.482005474
252,253,9,91,9102,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CARAHUE,9598,9582,16,24533,12202,12331,18.3,99.0,58.3,35.0,23.2,2189737575.09766,358130.181836844
253,254,9,91,9103,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CUNCO,8036,8024,12,17526,8765,8761,9.3,100.0,58.9,31.2,27.7,3131477594.99609,355657.699788953
254,255,9,91,9104,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CURARREHUE,3281,3269,12,7489,3821,3668,6.4,104.2,56.1,36.4,19.7,1948683222.03125,316553.805992148
255,256,9,91,9105,REGIÓN DE LA ARAUCANÍA,CAUTÍN,FREIRE,9293,9284,9,24606,12413,12193,28.1,101.8,51.8,30.4,21.4,1449369645.89453,248960.523374341
256,257,9,91,9106,REGIÓN DE LA ARAUCANÍA,CAUTÍN,GALVARINO,4275,4271,4,11996,6032,5964,21.1,101.1,59.1,36.0,23.1,928215155.992188,176700.613310927
257,258,9,91,9107,REGIÓN DE LA ARAUCANÍA,CAUTÍN,GORBEA,6119,6111,8,14414,6945,7469,20.8,93.0,53.9,28.1,25.8,1149790467.35938,210702.818259099
258,259,9,91,9108,REGIÓN DE LA ARAUCANÍA,CAUTÍN,LAUTARO,14125,14106,19,38013,18448,19565,41.9,94.3,51.3,33.6,17.7,1485257376.92578,288475.83652221
259,260,9,91,9109,REGIÓN DE LA ARAUCANÍA,CAUTÍN,LONCOCHE,10069,10061,8,23612,11502,12110,24.2,95.0,56.6,33.3,23.3,1628795363.76563,282667.96870945
260,261,9,91,9110,REGIÓN DE LA ARAUCANÍA,CAUTÍN,MELIPEUCO,2742,2724,18,6138,3091,3047,5.5,101.4,59.8,31.8,28.0,1825384390.45703,220281.880124908
261,262,9,91,9111,REGIÓN DE LA ARAUCANÍA,CAUTÍN,NUEVA IMPERIAL,12130,12112,18,32510,15870,16640,44.5,95.4,55.9,33.9,22.1,1200724581.41406,222732.023689315
262,263,9,91,9112,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PADRE LAS CASAS,26158,26141,17,76126,36996,39130,164.1,94.5,48.3,33.9,14.4,763485182.65625,219600.662952422
263,264,9,91,9113,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PERQUENCO,2877,2876,1,6905,3395,3510,20.8,96.7,53.5,33.2,20.4,540513730.785156,143680.771081296
264,265,9,91,9114,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PITRUFQUÉN,10168,10147,21,24837,12065,12772,43.0,94.5,53.2,30.3,22.9,959745386.261719,263912.637265418
265,266,9,91,9115,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PUCÓN,17356,17242,114,28523,14106,14417,22.8,97.8,46.9,30.9,16.0,2084745938.21875,269672.722334023
266,267,9,91,9116,REGIÓN DE LA ARAUCANÍA,CAUTÍN,SAAVEDRA,5686,5672,14,12450,6129,6321,31.8,97.0,61.6,35.1,26.5,643819229.332031,149771.67647843
267,268,9,91,9117,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEODORO SCHMIDT,6442,6438,4,15045,7526,7519,23.0,100.1,58.9,32.3,26.5,1083850951.97266,210875.559456286
268,269,9,91,9118,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TOLTÉN,4153,4145,8,9722,4883,4839,11.4,100.9,56.4,31.7,24.7,1418067445.0625,200683.682153125
269,270,9,91,9119,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILCÚN,11112,11101,11,28151,13873,14278,19.9,97.2,51.5,34.1,17.4,2326964864.41797,328634.964466133
270,271,9,91,9120,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILLARRICA,28288,28215,73,55478,27196,28282,42.9,96.2,50.1,31.9,18.2,2158022033.25781,286428.357838902
271,272,9,91,9121,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CHOLCHOL,4213,4200,13,11611,5773,5838,27.0,98.9,59.0,36.5,22.5,703896181.039063,150665.36286919
272,273,9,92,9201,REGIÓN DE LA ARAUCANÍA,MALLECO,ANGOL,19413,19366,47,53262,25613,27649,44.5,92.6,51.9,32.5,19.4,1916751651.50781,310256.239835047
273,274,9,92,9202,REGIÓN DE LA ARAUCANÍA,MALLECO,COLLIPULLI,9341,9322,19,24598,12064,12534,18.8,96.3,53.9,35.1,18.8,2109220835.67969,338567.124463502
